99
0003,7964
0109,9731
0626,3115
0119,4646
0622,4928
0199,0564
0125,5913
0100,1258
0002,4562
0185,2114
0037,4801
0719,2064
0105,4242
0289,2314
3517,8894
0115,8962
4833,7094
0038,8403
0091,0338
0152,7292
0031,5764
0045,9700
0133,4992
0043,3975
0058,1520
0170,2046
0193,2280
0052,1425
0027,8594
2972,5578
0507,4396
0053,5033
0449,0508
0033,4044
0012,2639
0001,7003
0068,2459
0082,9711
0272,7849
0456,9176
0903,6154
1219,7502
0004,0601
0238,6120
0365,9211
0106,9022
0513,6178
1682,3845
0430,2722
1742,3888
0865,2987
0138,2762
0000,7073
0009,3953
0398,2638
1364,4741
0340,0851
0149,7121
0090,7357
0158,6629
0085,6494
0267,6662
0011,2842
0139,7209
0242,3175
0128,8829
0051,0499
0492,0628
0258,4356
0175,4369
0740,0441
0207,5430
0826,9399
0249,5932
0007,3496
7382,0056
0111,1251
1875,9310
0253,4217
0010,2888
0951,8091
0326,5111
1211,1027
1359,3807
0203,2476
0049,1852
0305,5748
0006,4909
0093,2846
0372,6545
0146,4882
0067,8969
0005,1233
0092,5581
0069,3883
0030,2134
0588,4526
0014,9254
0194,5394
0081,7376
0098,5928
0873,5218
0183,6330
0227,8157
0104,7591
0086,2873
0232,8670
0144,1695
0328,3424
0793,4773
0057,4056
0028,8777
0543,1450
0040,7533
1780,6363
0078,0972
0751,1412
1421,0397
0099,2102
0029,8697
0239,2367
0136,5352
0304,1040
0008,0438
0024,7334
0295,1784
0235,8756
0095,0012
0021,9489
0231,5816
0122,2707
0407,6296
1145,9407
0084,2368
0276,0150
0282,5371
0035,7792
0017,0411
0020,8385
0383,5457
0055,3017
7717,9196
0032,2488
0153,9475
0116,5633
0023,7729
0065,5420
0121,2277
0990,3848
0268,2716
0279,5599
0499,6913
0659,4270
0070,7009
0173,2845
0063,3243
0041,0504
3351,9466
0419,7736
0047,4308
0451,7177
0142,9871
0477,6554
0148,6266
5928,2540
0172,8108
1663,7042
0337,7594
0131,1382
0062,1624
0013,0744
0016,9173
0241,6408
1797,3397
0026,9228
1276,7127
0025,8775
0161,4964
0309,7441
0044,0512
0147,9433
0290,4248
0018,0579
0060,0862
0280,9478
0474,1156
0389,6432
1904,1361
0177,0953
0715,1616
0244,8977
0364,3505
