100
0003,4613
0109,6166
0626,4172
0119,1547
0622,4102
0199,9606
0125,9625
0100,0314
0002,3665
0185,1535
0037,5674
0719,9037
0105,2925
0289,0263
3517,6165
0115,6431
4833,6783
0038,3849
0091,2119
0152,0855
0031,4835
0045,4577
0133,4092
0043,1317
0058,4750
0170,8074
0193,0151
0052,6174
0027,9144
2972,5981
0507,0454
0053,3546
0449,8792
0033,7754
0012,1320
0001,1459
0068,6367
0082,2638
0272,1894
0456,5190
0903,2797
1219,1261
0004,8637
0238,6749
0365,3698
0106,0332
0513,5713
1682,0257
0430,7242
1742,5316
0865,6953
0138,3391
0000,5705
0009,0487
0398,6374
1364,6215
0340,6401
0149,3696
0090,5588
0158,3244
0085,8978
0267,4813
0011,6204
0139,4799
0242,2872
0128,2633
0051,9749
0492,6544
0258,5529
0175,7735
0740,7596
0207,4213
0826,7979
0249,4446
0007,5725
0111,0442
1875,0408
0253,3176
0010,6859
0951,5388
0326,7965
1211,0628
1359,6111
0203,4085
0049,7990
0305,1410
0006,8770
0093,7973
0372,3068
0146,0777
0067,8424
0005,0997
0092,9421
0069,4066
0030,6221
0588,5196
0014,3119
0194,1994
0081,5878
0098,5001
0873,4693
0183,6157
0227,7226
0104,6514
0086,8536
0232,3080
0144,9780
0328,9912
0793,2313
0057,7418
0028,6951
0543,1123
0040,1278
1780,6413
0078,8835
0751,2911
1421,5567
0099,8135
0029,6706
0239,7462
0136,8674
0304,8928
0008,6300
0024,2975
0295,8740
0235,9270
0095,2974
0021,7122
0231,7094
0122,1201
0407,4514
1145,6487
0084,5839
0276,5673
0282,6620
0035,8063
0017,9298
0020,3415
0383,4632
0055,9243
7717,2425
0032,6838
0153,6609
0116,0646
0023,1705
0065,7720
0121,8542
0990,4327
0268,0619
0279,9313
0499,7088
0659,5303
0070,2356
0173,7551
0063,8024
0041,5654
3351,7288
0419,3048
0047,6495
0451,8611
0142,0051
0477,2619
0148,8572
5928,2676
0172,6619
1663,8405
0337,2654
0131,1385
0062,6793
0013,8496
0016,5934
0241,9343
1797,2453
0026,5294
1276,5125
0025,7996
0161,1313
0309,3719
0044,7363
0147,6506
0290,9491
0018,3452
0060,9706
0280,0625
0474,0944
0389,6878
1904,6601
0177,7004
0715,2252
0244,1819
0364,6780
